00AL;N34* 51.89';W86* 13.78';820;EPPS Airpark (private);Harvest;Alabama
KAIV;N33* 6.39';W88* 11.87';150;George Downer Airport;Aliceville;Alabama
KALX;N32* 54.89';W85* 57.78';686;Thomas C. Russell Field;Alexander City;Alabama
KANB;N33* 35.29';W85* 51.49';612;Anniston Metropolitan Airport;Anniston;Alabama
KASN;N33* 34.2';W86* 3.05';528;Talladega Municipal Airport;Talladega;Alabama
KAUO;N32* 36.91';W85* 26.04';777;Auburn-Opelika Robert G. Pitts Airport;Auburn;Alabama
KBFM;N30* 37.59';W88* 4.08';26;Mobile Downtown Airport;Mobile;Alabama
KBHM;N33* 33.78';W86* 45.21';644;Birmingham International Airport;Birmingham;Alabama
KDCU;N34* 39.16';W86* 56.72';592;Pryor Field Regional Airport;Decatur;Alabama
KDHN;N31* 19.28';W85* 26.98';401;Dothan Regional Airport;Dothan;Alabama
KEDN;N31* 17.98';W85* 53.99';369;Enterprise Municipal Airport;Enterprise;Alabama
KEET;N33* 10.62';W86* 46.97';587;Shelby County Airport;Alabaster;Alabama
KEKY;N33* 18.77';W86* 55.55';700;Bessemer Airport;Bessemer;Alabama
KEUF;N31* 57.08';W85* 7.73';285;Weedon Field;Eufaula;Alabama
KGAD;N33* 58.36';W86* 5.34';569;Northeast Alabama Regional Airport;Gadsden;Alabama
KGZH;N31* 24.9';W87* 2.65';259;Middleton Airport;Evergreen;Alabama
KHSV;N34* 38.23';W86* 46.5';629;Huntsville International Airport;Huntsville;Alabama
KJFX;N33* 54.12';W87* 18.85';482;Walker County Airport (Bevill Field);Jasper;Alabama
KJKA;N30* 17.43';W87* 40.31';16;Jack Edwards Airport;Gulf Shores;Alabama
KMDQ;N34* 51.68';W86* 33.45';755;Madison County Executive Airport;Huntsville;Alabama
KMGM;N32* 18.04';W86* 23.64';221;Montgomery Regional Airport;Montgomery;Alabama
KMOB;N30* 41.49';W88* 14.57';219;Mobile Regional Airport;Mobile;Alabama
KMSL;N34* 44.72';W87* 36.61';550;Northwest Alabama Regional Airport;Muscle Shoals;Alabama
KMVC;N31* 27.48';W87* 21.06';419;Monroe County Airport;Monroeville;Alabama
KMXF;N32* 22.81';W86* 21.9';172;Maxwell Air Force Base;Montgomery;Alabama
KOZR;N31* 16.54';W85* 42.8';301;Cairns Army Airfield;Fort Rucker;Alabama
KPLR;N33* 33.53';W86* 14.94';485;St. Clair County Airport;Pell City;Alabama
KPRN;N31* 50.74';W86* 36.64';451;Mac Crenshaw Memorial Airport;Greenville;Alabama
KSCD;N33* 10.31';W86* 18.33';569;Sylacauga Municipal Airport;Sylacauga;Alabama
KSEM;N32* 20.64';W86* 59.27';166;Craig Field;Selma;Alabama
KTCL;N33* 13.24';W87* 36.68';170;Tuscaloosa Regional Airport;Tuscaloosa;Alabama
KTOI;N31* 51.62';W86* 0.73';398;Troy Municipal Airport;Troy;Alabama
00AK;N59* 51.37';W151* 41.77';450;Lowell Field Airport;Anchor Point;Alaska
KAE;N56* 58.58';W133* 57.86';0;Kake Seaplane Base;Kake;Alaska
KAK1;N61* 31.82';W149* 1.05';64;Butte Municipal;Butte;Alaska
KAK5;N60* 15.34';W151* 18.19';230;Encelewski Lake;Kasilof;Alaska
KALZ;N56* 53.97';W154* 14.87';0;Alitak Seaplane Base;Lazy Bay;Alaska
KBNF;N57* 5.33';E134* 49.99';0;Warm Spring Bay;Sitka;Alaska
PAAK;N52* 13.22';W174* 12.38';56;Atka Airport (FAA: AKA);Atka;Alaska
PAAQ;N61* 35.68';W149* 5.33';242;Palmer Municipal Airport;Palmer;Alaska
PABA;N70* 8.04';W143* 34.91';5;Barter Island LRRS Airport;Barter Island;Alaska
PABE;N60* 46.79';W161* 50.28';123;Bethel Airport;Bethel;Alaska
PABI;N63* 59.67';W145* 43.3';1277;Allen Army Airfield (formerly Big Delta Army Airfield);Fort Greely / Delta Junction;Alaska
PABL;N65* 58.89';W161* 8.94';31;Buckland Airport (FAA: BVK);Buckland;Alaska
PABR;N71* 17.13';W156* 45.96';44;Wiley Post-Will Rogers Memorial Airport;Barrow;Alaska
PABT;N66* 54.92';W151* 31.68';643;Bettles Airport;Bettles;Alaska
PABV;N61* 24.99';W149* 30.44';96;Birchwood Airport (FAA: BCV);Birchwood;Alaska
PACD;N55* 12.34';W162* 43.46';98;Cold Bay Airport;Cold Bay;Alaska
PACK;N60* 8.95';W164* 17.14';40;Chefornak Airport (FAA: CFK);Chefornak;Alaska
PACL;N64* 18.07';W149* 7.21';552;Clear Airport / Clear Air Force Station (FAA: Z84);Clear;Alaska
PACR;N65* 49.83';W144* 4.55';610;Circle City Airport (FAA: CRC);Circle;Alaska
PACS;N54* 34.95';W164* 54.87';291;Cape Sarichef Airport (FAA: 26AK);Cape Sarichef;Alaska
PACV;N60* 29.51';W145* 28.66';42;Merle K. (Mudhole) Smith Airport;Cordova;Alaska
PACY;N60* 4.92';W142* 29.61';12;Yakataga Airport;Cape Yakataga;Alaska
PACZ;N61* 46.82';W166* 2.32';457;Cape Romanzof LRRS Airport;Cape Romanzof;Alaska
PADE;N66* 4.17';W162* 45.98';21;Deering Airport (FAA: DEE);Deering;Alaska
PADK;N51* 52.68';W176* 38.76';18;Adak Airport (Mitchell Field);Adak Island;Alaska
PADL;N59* 2.72';W158* 30.2';86;Dillingham Airport;Dillingham;Alaska
PADQ;N57* 45';W152* 29.63';73;Kodiak Airport;Kodiak;Alaska
PADU;N53* 54.01';W166* 32.61';22;Unalaska Airport (Tom Madsen Airport);Unalaska;Alaska
PADY;N59* 57.65';W162* 52.88';30;Kongiganak Airport (FAA: DUY);Kongiganak;Alaska
PAED;N61* 15.08';W149* 48.39';213;Elmendorf Air Force Base;Anchorage;Alaska
PAEH;N58* 38.79';W162* 3.77';541;Cape Newenham LRRS Airport;Cape Newenham;Alaska
PAEI;N64* 39.94';W147* 6.09';548;Eielson Air Force Base;Fairbanks;Alaska
PAEM;N62* 47.11';W164* 29.46';14;Emmonak Airport (FAA: ENM);Emmonak;Alaska
PAEN;N60* 34.39';W151* 14.7';99;Kenai Municipal Airport;Kenai;Alaska
PAEW;N60* 56.35';W164* 38.48';25;Newtok Airport (FAA: EWU);Newtok;Alaska
PAFA;N64* 48.91';W147* 51.38';434;Fairbanks International Airport;Fairbanks;Alaska
PAFB;N64* 50.19';W147* 37.01';454;Ladd Army Airfield (Fort Wainwright AAF);Fairbanks;Alaska
PAFE;N56* 57.68';W133* 54.62';172;Kake Airport (FAA: AFE);Kake;Alaska
PAFL;N62* 31.9';W153* 36.67';1151;Tin Creek Airport (FAA: TNW);Farewell Lake;Alaska
PAFM;N67* 6.38';W157* 51.45';334;Ambler Airport (FAA: AFM);Ambler;Alaska
PAFW;N62* 30.4';W153* 53.62';1535;Farewell Airport;Farewell;Alaska
PAGA;N64* 44.17';W156* 56.24';152;Edward G. Pitka Sr. Airport;Galena;Alaska
PAGB;N68* 28.8';W149* 29.23';2665;Galbraith Lake Airport;Galbraith Lake;Alaska
PAGK;N62* 9.29';W145* 27.4';1578;Gulkana Airport;Gulkana;Alaska
PAGM;N63* 46';W171* 43.97';27;Gambell Airport;Gambell;Alaska
PAGS;N58* 25.52';W135* 42.44';34;Gustavus Airport;Gustavus;Alaska
PAGY;N59* 27.6';W135* 18.94';44;Skagway Airport;Skagway;Alaska
PAHL;N65* 41.85';W156* 21.07';213;Huslia Airport (FAA: HLA);Huslia;Alaska
PAHN;N59* 14.63';W135* 31.41';15;Haines Airport;Haines;Alaska
PAHO;N59* 38.73';W151* 28.59';84;Homer Airport;Homer;Alaska
PAHP;N61* 31.45';W166* 8.81';18;Hooper Bay Airport;Hooper Bay;Alaska
PAII;N58* 11.13';W157* 23.14';92;Egegik Airport (FAA: EII);Egegik;Alaska
PAIK;N66* 58.56';W160* 26.19';166;Bob Baker Memorial Airport;Kiana;Alaska
PAIL;N59* 45.23';W154* 54.66';186;Iliamna Airport;Iliamna;Alaska
PAIN;N63* 43.96';W148* 54.64';1720;McKinley National Park Airport (FAA: INR);McKinley Park;Alaska
PAJC;N56* 18.69';W158* 22.39';18;Chignik Airport (FAA: AJC);Chignik;Alaska
PAJN;N58* 21.3';W134* 34.58';3;Juneau International Airport;Juneau;Alaska
PAKI;N59* 55.98';W164* 1.83';11;Kipnuk Airport (FAA: IIK);Kipnuk;Alaska
PAKK;N64* 56.04';W161* 9.49';120;Koyuk Alfred Adams Airport;Koyuk;Alaska
PAKN;N58* 40.61';W156* 38.95';57;King Salmon Airport;King Salmon;Alaska
