Country 	County 	City 	Airport 	Latitude 	Longitude 	Altitude 	ICAO 	IATA
Afghanistan 	- 	Bagram 	Bagram 	N34* 56.7683' 	E69* 15.8983' 	1492.00M 	OAIX 	-
Afghanistan 	- 	Bamyan 	Bamyan 	N34* 48.9346' 	E67* 49.0597' 	2550.26M 	OABN 	-
Afghanistan 	- 	Bost 	Bost 	N31* 33.0000' 	E64* 22.0000' 	773.89M 	OABT 	-
Afghanistan 	- 	Chakhcharan 	Chakhcharan 	N34* 32.0000' 	E65* 16.0000' 	2250.34M 	OACC 	-
Afghanistan 	- 	Faizabad 	Faizabad 	N37* 05.0000' 	E70* 30.0000' 	1180.19M 	OAFZ 	-
Afghanistan 	- 	Farah 	Farah 	N32* 20.0000' 	E62* 06.0000' 	651.97M 	OAFR 	-
Afghanistan 	- 	Herat 	Herat 	N34* 12.9667' 	E62* 13.5833' 	977.19M 	OAHR 	HEA
Afghanistan 	- 	Jalalabad 	Jalalabad 	N34* 23.8333' 	E70* 29.7000' 	552.91M 	OAJL 	JAA
Afghanistan 	- 	Kabul 	Kabul Intl 	N34* 33.9512' 	E69* 12.7397' 	1789.48M 	OAKB 	KBL
Afghanistan 	- 	Kandahar 	Kandahar 	N31* 30.3500' 	E65* 50.8667' 	1009.50M 	OAKN 	KDH
Afghanistan 	- 	Khojaghar 	Khojaghar 	N37* 05.0000' 	E69* 22.0000' 	490.12M 	OAKG 	-
Afghanistan 	- 	Khost 	Khost 	N33* 21.0312' 	E69* 56.9846' 	1171.65M 	OAKS 	-
Afghanistan 	- 	Kunduz 	Kunduz 	N36* 39.9000' 	E68* 54.6500' 	434.64M 	OAUZ 	UND
Afghanistan 	- 	Maimana 	Maimana 	N35* 56.0000' 	E64* 45.0000' 	819.91M 	OAMN 	MMZ
Afghanistan 	- 	Marnah Ghar 	Marnah Ghar 	N32* 20.2895' 	E68* 56.3854' 	1694.08M 	OA1A 	-
Afghanistan 	- 	Mazar-I-Sharif 	Mazar 	N36* 42.2500' 	E67* 12.5000' 	391.36M 	OAMS 	MZR
Afghanistan 	- 	Qala-I-Naw 	Qala-I-Naw 	N34* 60.0000' 	E63* 10.0000' 	914.10M 	OAQN 	-
Afghanistan 	- 	Sheberghan 	Sheberghan 	N36* 45.0470' 	E65* 54.7898' 	320.95M 	OASG 	-
Afghanistan 	- 	Shindand 	Shindand 	N33* 23.4799' 	E62* 15.6585' 	1150.01M 	OASD 	-
Afghanistan 	- 	Talulqan 	Talulqan 	N36* 46.2450' 	E69* 31.9200' 	789.74M 	OATQ 	-
Afghanistan 	- 	Tereen 	Tereen 	N32* 37.0000' 	E65* 52.0000' 	1349.96M 	OATN 	-
Afghanistan 	- 	Zaranj 	Zaranj 	N31* 05.9980' 	E61* 56.0320' 	481.89M 	OAZJ 	-
Albania 	- 	Gjader 	Gjader 	N41* 53.7133' 	E19* 35.9207' 	7.01M 	LAGJ 	-
Albania 	- 	Gjirokaster 	Gjirokaster 	N40* 05.2400' 	E20* 09.1834' 	203.00M 	LA0A 	-
Albania 	- 	Gjirokaster 	Gjirokaster 	N40* 05.2400' 	E20* 09.1834' 	203.00M 	LA10 	-
Albania 	- 	Korce Northwest 	Korce Northwest 	N40* 38.7394' 	E20* 44.4892' 	829.97M 	LAKO 	-
Albania 	- 	Kucova 	Kucova 	N40* 46.3133' 	E19* 54.1133' 	41.15M 	LAKV 	-
Albania 	- 	Kukes 	Kukes 	N42* 02.0237' 	E20* 24.9521' 	341.38M 	LAKU 	-
Albania 	- 	Tirana 	Lapraka 	N41* 19.9667' 	E19* 47.3833' 	89.92M 	Z00H 	-
Albania 	- 	Tirana 	Tirana 	N41* 24.8833' 	E19* 43.2333' 	32.92M 	LATI 	TIA
Albania 	- 	Vlora 	Vlora 	N40* 28.5630' 	E19* 28.4507' 	.91M 	LAVL 	-
Algeria 	- 	Adrar 	Touat Cheikh Sidi Mohamed Belk 	N27* 50.3500' 	W00* 11.1167' 	280.11M 	DAUA 	AZR
Algeria 	- 	Ain Oussera 	Ain Oussera 	N35* 31.5248' 	E02* 52.7228' 	649.83M 	DAAQ 	-
Algeria 	- 	Algiers 	Houari Boumediene 	N36* 41.6667' 	E03* 13.0667' 	24.99M 	DAAG 	ALG
Algeria 	- 	Annaba 	Rabah Bitat 	N36* 49.3333' 	E07* 48.5667' 	4.88M 	DABB 	AAE
Algeria 	- 	Batna 	Mostepha Ben Boulaid 	N35* 45.5500' 	E06* 19.3500' 	822.05M 	DABT 	-
Algeria 	- 	Bechar 	Bechar 	N31* 38.7671' 	W02* 16.7105' 	811.07M 	DAOR 	CBH
Algeria 	- 	Bejaia 	Soummam-Abane Ramdane 	N36* 42.7167' 	E05* 04.1667' 	6.10M 	DAAE 	BJA
Algeria 	- 	Biskra 	Biskra 	N34* 47.5973' 	E05* 44.2939' 	214.88M 	DAUB 	BSK
Algeria 	- 	Blida 	Blida 	N36* 30.2168' 	E02* 48.8500' 	163.07M 	DAAB 	QLD
Algeria 	- 	Bordj Mokhtar 	Bordj Mokhtar 	N21* 22.5000' 	E00* 55.4333' 	396.85M 	DATM 	-
Algeria 	- 	Bou Saada 	Bou Saada 	N35* 19.8833' 	E04* 12.2667' 	459.03M 	DAAD 	BUJ
Algeria 	- 	Bou Sfer 	Bou Sfer 	N35* 44.1234' 	W00* 48.3233' 	57.00M 	DAOE 	-
Algeria 	- 	Boufarik 	Boufarik 	N36* 32.7500' 	E02* 52.5666' 	102.11M 	DAAK 	-
Algeria 	- 	Constantine 	Mohamed Boudiaf 	N36* 17.1167' 	E06* 37.1500' 	705.92M 	DABC 	CZL
Algeria 	- 	Djanet 	Tiska 	N24* 17.5833' 	E09* 27.1167' 	968.04M 	DAAJ 	DJG
Algeria 	- 	Ech-Cheliff 	Ech-Cheliff 	N36* 13.0000' 	E01* 20.0000' 	142.95M 	DAOI 	QAS
Algeria 	- 	El Abiodh Sidi Cheikh 	El Abiodh Sidi Cheikh 	N32* 53.9117' 	E00* 31.4817' 	903.73M 	DA0C 	-
Algeria 	- 	El Abiodh Sidi Cheikh 	El Abiodh Sidi Cheikh 	N32* 53.9117' 	E00* 31.4817' 	903.73M 	DA12 	-
Algeria 	- 	El Golea 	El Golea 	N30* 34.1333' 	E02* 51.8833' 	398.07M 	DAUE 	ELG
Algeria 	- 	El Oued 	Guemar 	N33* 30.7833' 	E06* 46.9500' 	61.87M 	DAUO 	ELU
Algeria 	- 	Ghardaia 	Noumerat-Moufdi Zakaria 	N32* 22.9000' 	E03* 47.9667' 	460.86M 	DAUG 	GHA
Algeria 	- 	Ghriss 	Ghriss 	N35* 13.0167' 	E00* 08.9000' 	513.89M 	DAOV 	-
